INFO 2026-04-01 14:03:34,461 autoreload 20692 24324 Watching for file changes with StatReloader
WARNING 2026-04-01 14:03:55,070 log 20692 26280 Not Found: /
WARNING 2026-04-01 14:03:55,072 basehttp 20692 26280 "GET / HTTP/1.1" 404 3146
WARNING 2026-04-01 14:03:56,960 log 20692 26280 Not Found: /favicon.ico
WARNING 2026-04-01 14:03:56,961 basehttp 20692 26280 "GET /favicon.ico HTTP/1.1" 404 3197
WARNING 2026-04-01 14:04:36,032 log 20692 26280 Not Found: /
WARNING 2026-04-01 14:04:36,033 basehttp 20692 26280 "GET / HTTP/1.1" 404 3146
INFO 2026-04-01 14:05:06,822 basehttp 20692 26280 "GET /admin/users/user/ HTTP/1.1" 302 0
INFO 2026-04-01 14:05:06,896 basehttp 20692 26280 "GET /admin/login/?next=/admin/users/user/ HTTP/1.1" 200 4207
INFO 2026-04-01 14:05:07,776 basehttp 20692 27300 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2929
INFO 2026-04-01 14:05:07,789 basehttp 20692 27300 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2026-04-01 14:05:07,850 basehttp 20692 19400 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2694
INFO 2026-04-01 14:05:07,917 basehttp 20692 26280 "GET /static/admin/css/base.css HTTP/1.1" 200 21207
INFO 2026-04-01 14:05:07,992 basehttp 20692 14296 "GET /static/admin/css/login.css HTTP/1.1" 200 958
INFO 2026-04-01 14:05:08,123 basehttp 20692 284 "GET /static/admin/css/responsive.css HTTP/1.1" 200 18533
INFO 2026-04-01 14:05:08,255 basehttp 20692 21484 "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
INFO 2026-04-01 14:05:10,778 basehttp 20692 21484 "GET /admin HTTP/1.1" 301 0
INFO 2026-04-01 14:05:10,791 basehttp 20692 284 "GET /admin/ HTTP/1.1" 302 0
INFO 2026-04-01 14:05:10,812 basehttp 20692 284 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4185
INFO 2026-04-01 14:05:14,528 basehttp 20692 284 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4360
INFO 2026-04-01 14:05:20,783 basehttp 20692 284 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4360
INFO 2026-04-01 14:05:28,715 basehttp 20692 284 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4350
INFO 2026-04-01 14:05:39,761 basehttp 20692 284 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2026-04-01 14:05:39,814 basehttp 20692 284 "GET /admin/ HTTP/1.1" 200 10956
INFO 2026-04-01 14:05:39,911 basehttp 20692 284 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2026-04-01 14:05:40,030 basehttp 20692 284 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2026-04-01 14:05:40,031 basehttp 20692 14296 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2026-04-01 14:06:01,381 basehttp 20692 14296 "GET /admin/properties/propertyimage/ HTTP/1.1" 200 11903
INFO 2026-04-01 14:06:01,473 basehttp 20692 14296 "GET /static/admin/css/changelists.css HTTP/1.1" 200 6566
INFO 2026-04-01 14:06:01,502 basehttp 20692 14296 "GET /static/admin/js/actions.js HTTP/1.1" 200 7872
INFO 2026-04-01 14:06:01,502 basehttp 20692 284 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-04-01 14:06:01,503 basehttp 20692 19400 "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2026-04-01 14:06:01,504 basehttp 20692 27300 "GET /static/admin/js/core.js HTTP/1.1" 200 5682
INFO 2026-04-01 14:06:01,511 basehttp 20692 26280 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 292458
INFO 2026-04-01 14:06:01,513 basehttp 20692 16028 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 8943
INFO 2026-04-01 14:06:01,536 basehttp 20692 14296 "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2026-04-01 14:06:01,544 basehttp 20692 284 "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2026-04-01 14:06:01,555 basehttp 20692 19400 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 232381
INFO 2026-04-01 14:06:01,577 basehttp 20692 16028 "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2026-04-01 14:06:01,662 basehttp 20692 19400 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2026-04-01 14:06:01,663 basehttp 20692 16028 "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2026-04-01 14:06:03,777 basehttp 20692 19400 "GET /admin/properties/propertyimage/add/ HTTP/1.1" 200 14703
INFO 2026-04-01 14:06:03,914 basehttp 20692 14296 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
INFO 2026-04-01 14:06:03,919 basehttp 20692 19400 "GET /static/admin/css/forms.css HTTP/1.1" 200 9047
INFO 2026-04-01 14:06:03,920 basehttp 20692 16028 "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2026-04-01 14:06:03,925 basehttp 20692 284 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2026-04-01 14:06:03,962 basehttp 20692 284 "GET /static/admin/css/widgets.css HTTP/1.1" 200 11900
INFO 2026-04-01 14:06:03,978 basehttp 20692 284 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2026-04-01 14:06:11,737 basehttp 20692 284 "GET /admin/properties/propertyimage/ HTTP/1.1" 200 11903
INFO 2026-04-01 14:06:24,935 basehttp 20692 284 "GET /admin/favorites/favorite/ HTTP/1.1" 200 12352
